location;date;week;stringency_index
United States;01/05/2022;2022-W18;27.93
United States;08/05/2022;2022-W19;27.91
United States;15/05/2022;2022-W20;26.51
United States;22/05/2022;2022-W21;26.49
United States;29/05/2022;2022-W22;26.47
United States;05/06/2022;2022-W23;32.02
United States;12/06/2022;2022-W24;32.01
United States;19/06/2022;2022-W25;32
United States;26/06/2022;2022-W26;31.99
United States;03/07/2022;2022-W27;31.98
United States;10/07/2022;2022-W28;30.76
United States;17/07/2022;2022-W29;30.75
United States;24/07/2022;2022-W30;30.74
United States;31/07/2022;2022-W31;30.73
United States;07/08/2022;2022-W32;32.57
United States;14/08/2022;2022-W33;32.56
United States;21/08/2022;2022-W34;24.22
United States;28/08/2022;2022-W35;24.21
United States;04/09/2022;2022-W36;24.2
United States;11/09/2022;2022-W37;24.19
United States;18/09/2022;2022-W38;24.18
United States;25/09/2022;2022-W39;24.16
United States;02/10/2022;2022-W40;24.15
United States;09/10/2022;2022-W41;24.13
United States;16/10/2022;2022-W42;24.12
United States;23/10/2022;2022-W43;24.1
United States;30/10/2022;2022-W44;24.09
United States;06/11/2022;2022-W45;28.77
United States;13/11/2022;2022-W46;28.76
United States;20/11/2022;2022-W47;28.75
United States;27/11/2022;2022-W48;28.74
United States;04/12/2022;2022-W49;28.74
United States;11/12/2022;2022-W50;28.73
United States;18/12/2022;2022-W51;28.72
United States;25/12/2022;2022-W52;28.72
United States;01/01/2023;2023-W01;28.72
United States;08/01/2023;2023-W02;28.72
United States;15/01/2023;2023-W03;28.72
United States;22/01/2023;2023-W04;28.72
United States;29/01/2023;2023-W05;28.72
United States;05/02/2023;2023-W06;28.72
United States;12/02/2023;2023-W07;28.72
United States;19/02/2023;2023-W08;28.72
United States;26/02/2023;2023-W09;28.72
United States;05/03/2023;2023-W10;28.72
United States;12/03/2023;2023-W11;28.72
United States;19/03/2023;2023-W12;28.72
United States;26/03/2023;2023-W13;28.72
United States;02/04/2023;2023-W14;28.72
United States;09/04/2023;2023-W15;28.72
United States;16/04/2023;2023-W16;28.72
United States;23/04/2023;2023-W17;28.72
United States;30/04/2023;2023-W18;28.72
United States;07/05/2023;2023-W19;28.72
United States;14/05/2023;2023-W20;28.72
