location;date;week;total_deaths;new_deaths;total_deaths_per_million;new_deaths_per_million
India;13/09/2020;2020-W37;78586;7960;55.13;5.58
United States;13/09/2020;2020-W37;198641;4977;581.61;14.57
China;20/09/2020;2020-W38;4744;3;3.33;0
Germany;20/09/2020;2020-W38;9728;82;115.69;0.98
India;20/09/2020;2020-W38;86752;8166;60.86;5.73
United States;20/09/2020;2020-W38;203817;5176;596.77;15.16
China;27/09/2020;2020-W39;4746;2;3.33;0
Germany;27/09/2020;2020-W39;9838;110;117;1.31
India;27/09/2020;2020-W39;94503;7751;66.3;5.44
United States;27/09/2020;2020-W39;208593;4776;610.75;13.98
China;04/10/2020;2020-W40;4746;0;3.33;0
Germany;04/10/2020;2020-W40;9959;121;118.44;1.44
India;04/10/2020;2020-W40;101782;7279;71.4;5.11
United States;04/10/2020;2020-W40;213280;4687;624.48;13.72
China;11/10/2020;2020-W41;4746;0;3.33;0
Germany;11/10/2020;2020-W41;10206;247;121.38;2.94
India;11/10/2020;2020-W41;108334;6552;76;4.6
United States;11/10/2020;2020-W41;217895;4615;637.99;13.51
China;18/10/2020;2020-W42;4746;0;3.33;0
Germany;18/10/2020;2020-W42;10670;464;126.89;5.52
India;18/10/2020;2020-W42;114031;5697;80;4
United States;18/10/2020;2020-W42;222696;4801;652.05;14.06
China;25/10/2020;2020-W43;4746;0;3.33;0
Germany;25/10/2020;2020-W43;11685;1015;138.96;12.07
India;25/10/2020;2020-W43;118534;4503;83.16;3.16
United States;25/10/2020;2020-W43;228419;5723;668.8;16.76
China;01/11/2020;2020-W44;4746;0;3.33;0
Germany;01/11/2020;2020-W44;13306;1621;158.24;19.28
India;01/11/2020;2020-W44;122111;3577;85.67;2.51
United States;01/11/2020;2020-W44;234515;6096;686.65;17.85
China;08/11/2020;2020-W45;4748;2;3.33;0
Germany;08/11/2020;2020-W45;15216;1910;180.96;22.72
India;08/11/2020;2020-W45;126121;4010;88.48;2.81
United States;08/11/2020;2020-W45;241719;7204;707.74;21.09
China;15/11/2020;2020-W46;4749;1;3.33;0
Germany;15/11/2020;2020-W46;17752;2536;211.12;30.16
India;15/11/2020;2020-W46;129635;3514;90.94;2.46
United States;15/11/2020;2020-W46;250436;8717;733.27;25.52
China;22/11/2020;2020-W47;4749;0;3.33;0
Germany;22/11/2020;2020-W47;20978;3226;249.48;38.36
India;22/11/2020;2020-W47;133227;3592;93.46;2.52
United States;22/11/2020;2020-W47;261256;10820;764.95;31.68
China;29/11/2020;2020-W48;4750;1;3.33;0
Germany;29/11/2020;2020-W48;24579;3601;292.31;42.82
India;29/11/2020;2020-W48;136696;3469;95.9;2.43
United States;29/11/2020;2020-W48;273206;11950;799.94;34.99
China;06/12/2020;2020-W49;4753;3;3.34;0
Germany;06/12/2020;2020-W49;29059;4480;345.59;53.28
India;06/12/2020;2020-W49;140182;3486;98.34;2.45
United States;06/12/2020;2020-W49;288007;14801;843.28;43.34
China;13/12/2020;2020-W50;4756;3;3.34;0
Germany;13/12/2020;2020-W50;34821;5762;414.11;68.53
India;13/12/2020;2020-W50;143019;2837;100.33;1.99
United States;13/12/2020;2020-W50;305721;17714;895.14;51.87
China;20/12/2020;2020-W51;4770;14;3.35;0.01
Germany;20/12/2020;2020-W51;41281;6460;490.94;76.83
India;20/12/2020;2020-W51;145477;2458;102.06;1.72
United States;20/12/2020;2020-W51;324587;18866;950.38;55.24
China;27/12/2020;2020-W52;4777;7;3.35;0
Germany;27/12/2020;2020-W52;47009;5728;559.06;68.12
India;27/12/2020;2020-W52;147622;2145;103.56;1.5
United States;27/12/2020;2020-W52;342920;18333;1004.06;53.68
China;03/01/2021;2021-W01;4791;14;3.36;0.01
Germany;03/01/2021;2021-W01;52753;5744;627.37;68.31
India;03/01/2021;2021-W01;149435;1813;104.84;1.27
United States;03/01/2021;2021-W01;362570;19650;1061.59;57.54
China;10/01/2021;2021-W02;4798;7;3.37;0
Germany;10/01/2021;2021-W02;58512;5759;695.86;68.49
India;10/01/2021;2021-W02;150999;1564;105.93;1.1
United States;10/01/2021;2021-W02;384067;21497;1124.54;62.94
China;17/01/2021;2021-W03;4804;6;3.37;0
Germany;17/01/2021;2021-W03;63608;5096;756.46;60.6
India;17/01/2021;2021-W03;152274;1275;106.83;0.89
United States;17/01/2021;2021-W03;407379;23312;1192.79;68.26
China;24/01/2021;2021-W04;4810;6;3.38;0
Germany;24/01/2021;2021-W04;67715;4107;805.3;48.84
India;24/01/2021;2021-W04;153339;1065;107.57;0.75
United States;24/01/2021;2021-W04;429874;22495;1258.66;65.86
China;31/01/2021;2021-W05;4823;13;3.38;0.01
Germany;31/01/2021;2021-W05;70817;3102;842.2;36.89
India;31/01/2021;2021-W05;154274;935;108.23;0.66
United States;31/01/2021;2021-W05;452123;22249;1323.8;65.14
China;07/02/2021;2021-W06;4831;8;3.39;0.01
Germany;07/02/2021;2021-W06;73085;2268;869.17;26.97
India;07/02/2021;2021-W06;154996;722;108.74;0.51
United States;07/02/2021;2021-W06;472223;20100;1382.65;58.85
China;14/02/2021;2021-W07;4838;7;3.4;0
Germany;14/02/2021;2021-W07;74765;1680;889.15;19.98
India;14/02/2021;2021-W07;155642;646;109.19;0.45
United States;14/02/2021;2021-W07;492061;19838;1440.74;58.08
China;21/02/2021;2021-W08;4842;4;3.4;0
Germany;21/02/2021;2021-W08;76243;1478;906.72;17.58
India;21/02/2021;2021-W08;156302;660;109.65;0.46
United States;21/02/2021;2021-W08;506493;14432;1482.99;42.26
China;28/02/2021;2021-W09;4843;1;3.4;0
Germany;28/02/2021;2021-W09;77470;1227;921.32;14.59
India;28/02/2021;2021-W09;157051;749;110.18;0.52
United States;28/02/2021;2021-W09;519853;13360;1522.11;39.12
