location;date;week;total_vaccinations;total_boosters
Germany;13/12/2020;2020-W50;0;0
India;13/12/2020;2020-W50;0;0
United States;13/12/2020;2020-W50;45620;0
China;20/12/2020;2020-W51;0;0
Germany;20/12/2020;2020-W51;0;0
India;20/12/2020;2020-W51;0;0
United States;20/12/2020;2020-W51;1246202;0
China;27/12/2020;2020-W52;0;0
Germany;27/12/2020;2020-W52;24427;0
India;27/12/2020;2020-W52;0;0
United States;27/12/2020;2020-W52;3114027;0
China;03/01/2021;2021-W01;0;0
Germany;03/01/2021;2021-W01;303099;0
India;03/01/2021;2021-W01;0;0
United States;03/01/2021;2021-W01;6264523;0
China;10/01/2021;2021-W02;0;0
Germany;10/01/2021;2021-W02;679400;0
India;10/01/2021;2021-W02;0;0
United States;10/01/2021;2021-W02;11989784;0
China;17/01/2021;2021-W03;0;0
Germany;17/01/2021;2021-W03;1222146;0
India;17/01/2021;2021-W03;224301;0
United States;17/01/2021;2021-W03;19218336;0
China;24/01/2021;2021-W04;0;0
Germany;24/01/2021;2021-W04;1901541;0
India;24/01/2021;2021-W04;1615504;0
United States;24/01/2021;2021-W04;27690932;0
China;31/01/2021;2021-W05;24000000;0
Germany;31/01/2021;2021-W05;2547255;0
India;31/01/2021;2021-W05;3758843;0
United States;31/01/2021;2021-W05;38066296;0
China;07/02/2021;2021-W06;0;0
Germany;07/02/2021;2021-W06;3394372;0
India;07/02/2021;2021-W06;5812362;0
United States;07/02/2021;2021-W06;49827294;2
China;14/02/2021;2021-W07;0;0
Germany;14/02/2021;2021-W07;4268950;0
India;14/02/2021;2021-W07;0;0
United States;14/02/2021;2021-W07;62811106;4
China;21/02/2021;2021-W08;0;0
Germany;21/02/2021;2021-W08;5185095;0
India;21/02/2021;2021-W08;11085173;0
United States;21/02/2021;2021-W08;73358924;6
China;28/02/2021;2021-W09;52520000;0
Germany;28/02/2021;2021-W09;6346902;0
India;28/02/2021;2021-W09;14301266;0
United States;28/02/2021;2021-W09;88232689;11
China;07/03/2021;2020-W10;0;0
Germany;07/03/2021;2020-W10;7889092;0
India;07/03/2021;2020-W10;20989010;0
United States;07/03/2021;;105176040;15
China;14/03/2021;2020-W11;64980000;0
Germany;14/03/2021;2020-W11;9697961;0
India;14/03/2021;2020-W11;29908038;0
United States;14/03/2021;;123329855;19
China;21/03/2021;2020-W12;0;0
Germany;21/03/2021;2020-W12;11161180;0
India;21/03/2021;2020-W12;45065998;0
United States;21/03/2021;;141598741;23
China;28/03/2021;2020-W13;106613000;0
Germany;28/03/2021;2020-W13;13258330;0
India;28/03/2021;2020-W13;60530435;0
United States;28/03/2021;;161894806;38
China;04/04/2021;2020-W14;139970000;0
Germany;04/04/2021;2020-W14;15210680;0
India;04/04/2021;2020-W14;79105163;0
United States;04/04/2021;;183796134;54
China;11/04/2021;2020-W15;167343000;0
Germany;11/04/2021;2020-W15;18548865;0
India;11/04/2021;2020-W15;104528565;0
United States;11/04/2021;;208353016;72
China;18/04/2021;2020-W16;192127000;0
Germany;18/04/2021;2020-W16;22265357;0
India;18/04/2021;2020-W16;123852566;0
United States;18/04/2021;;229457616;85
China;25/04/2021;2020-W17;224901000;0
Germany;25/04/2021;2020-W17;25827476;0
India;25/04/2021;2020-W17;139185173;0
United States;25/04/2021;;248816796;109
China;02/05/2021;2020-W18;275338000;0
Germany;02/05/2021;2020-W18;30582573;0
India;02/05/2021;2020-W18;154211511;0
United States;02/05/2021;;265965311;150
China;09/05/2021;2020-W19;324307000;0
Germany;09/05/2021;2020-W19;35699456;0
India;09/05/2021;2020-W19;168304868;0
United States;09/05/2021;;280233338;172
China;16/05/2021;2020-W20;406938000;0
Germany;16/05/2021;;40764260;1
India;16/05/2021;2020-W20;182251006;0
United States;16/05/2021;;293481568;189
China;23/05/2021;2020-W21;510858000;0
Germany;23/05/2021;;45936309;1
India;23/05/2021;2020-W21;191719240;0
United States;23/05/2021;;305713996;216
China;30/05/2021;2020-W22;639172000;0
Germany;30/05/2021;;50840346;1
India;30/05/2021;2020-W22;208665123;0
United States;30/05/2021;;313793224;229
China;06/06/2021;2020-W23;777879000;0
Germany;06/06/2021;;55895500;1336
India;06/06/2021;2020-W23;228041045;0
United States;06/06/2021;;320687243;251
China;13/06/2021;2020-W24;892770000;0
Germany;13/06/2021;;62115490;2957
India;13/06/2021;2020-W24;249430416;0
United States;13/06/2021;;327839088;264
China;20/06/2021;2020-W25;1029223000;0
